Artist Name,Track Name,Popularity,unique_songs
CAYAM,Chaos in the Distance,46,Chaos in the Distance CAYAM
PJ Harvey,Sheela-na-gig,32,Sheela-na-gig PJ Harvey
The Raconteurs,"Steady, as She Goes",66,"Steady, as She Goes The Raconteurs"
Elvis Costello,Alison,58,Alison Elvis Costello
Miley Cyrus,Midnight Sky,79,Midnight Sky Miley Cyrus
Richard D. James,#20 (Lichen),33,#20 (Lichen) Richard D. James
The Rapture,Echoes,40,Echoes The Rapture
The Hunna,Bad Place,56,Bad Place The Hunna
Saint Sister,Causing Trouble - Kormac Remix,50,Causing Trouble - Kormac Remix Saint Sister
White Town,Your Woman,63,Your Woman White Town
Twin Peaks,What's The Matter,30,What's The Matter Twin Peaks
Mr. Oizo,Positif,44,Positif Mr. Oizo
Primal Scream,Movin' on Up,63,Movin' on Up Primal Scream
We Are Scientists,The Great Escape,46,The Great Escape We Are Scientists
Bloc Party,Banquet,64,Banquet Bloc Party
Layten Kramer,When a Love's Not Around,26,When a Love's Not Around Layten Kramer
Jungle,Keep Moving,72,Keep Moving Jungle
Oxymorrons,Justice,40,Justice Oxymorrons
Public Image Ltd.,Rise,52,Rise Public Image Ltd.
TORRES,Good Scare,30,Good Scare TORRES
Bendigo Fletcher,Evergreen,43,Evergreen Bendigo Fletcher
Spirit Mother,Space Cadets,23,Space Cadets Spirit Mother
Demob Happy,Less Is More,37,Less Is More Demob Happy
grandson,Dirty,64,Dirty grandson
spill tab,PISTOLWHIP,54,PISTOLWHIP spill tab
Swamp Dogg,Please Let Me Go Round Again,34,Please Let Me Go Round Again Swamp Dogg
The Chemical Brothers,Let Forever Be,56,Let Forever Be The Chemical Brothers
Sipper,woah,37,woah Sipper
Dan Kye,Moving,49,Moving Dan Kye
The Modern Lovers,Roadrunner,58,Roadrunner The Modern Lovers
Vitamin String Quartet,New World,44,New World Vitamin String Quartet
Laura Marling,Devil's Spoke,44,Devil's Spoke Laura Marling
King Gizzard & The Lizard Wizard,Automation,50,Automation King Gizzard & The Lizard Wizard
Kelpe,All the Way Round - Edit,40,All the Way Round - Edit Kelpe
MC5,Kick Out The Jams (Original Uncensored Version),45,Kick Out The Jams (Original Uncensored Version) MC5
Matty,Videogames,41,Videogames Matty
DREAMERS,Painkiller,56,Painkiller DREAMERS
Logan Ledger,"Oh, Sister [Feat. Courtney Marie Andrews]",30,"Oh, Sister [Feat. Courtney Marie Andrews] Logan Ledger"
The Fratellis,Whistle For The Choir,48,Whistle For The Choir The Fratellis
Roger Eno,Celeste,45,Celeste Roger Eno
Julia Jacklin,"to Perth, before the border closes",52,"to Perth, before the border closes Julia Jacklin"
Ian Dury,Sex & Drugs & Rock & Roll,51,Sex & Drugs & Rock & Roll Ian Dury
Death From Above 1979,Romantic Rights,40,Romantic Rights Death From Above 1979
Martha and the Muffins,Echo Beach,58,Echo Beach Martha and the Muffins
Elvin T,Get Close - Edit,0,Get Close - Edit Elvin T
Years & Years,Starstruck - Vegyn Remix,59,Starstruck - Vegyn Remix Years & Years
Death Valley Girls,Street Justice,25,Street Justice Death Valley Girls
whenyoung,Given Up,31,Given Up whenyoung
almost monday,live forever,2,live forever almost monday
Digitalism,Idealistic,40,Idealistic Digitalism
Radiohead,Ill Wind,44,Ill Wind Radiohead
Aukai,Akal Ki,40,Akal Ki Aukai
Otis Kane,Sweet Sensation,43,Sweet Sensation Otis Kane
Grace Pettis,Landon,36,Landon Grace Pettis
Young Clancy,PARABLE 3,28,PARABLE 3 Young Clancy
Bully,Feel the Same,34,Feel the Same Bully
Kurt Vile,Pretty Pimpin,63,Pretty Pimpin Kurt Vile
808vic,Vibe Session 2,41,Vibe Session 2 808vic
Editors,Ocean of Night,54,Ocean of Night Editors
Myd,We Found It,57,We Found It Myd
Unknown Mortal Orchestra,Swim and Sleep (Like a Shark),60,Swim and Sleep (Like a Shark) Unknown Mortal Orchestra
Sonic Youth,Teen Age Riot (Album Version),63,Teen Age Riot (Album Version) Sonic Youth
Doss,On Your Mind,47,On Your Mind Doss
The Cult,She Sells Sanctuary,69,She Sells Sanctuary The Cult
In The Whale,Drug Dealer,32,Drug Dealer In The Whale
Poppy Ackroyd,Parallel (feat. Manu Delago),34,Parallel (feat. Manu Delago) Poppy Ackroyd
Yellow Ostrich,Julia,34,Julia Yellow Ostrich
Paul Haslinger,Mishkin,43,Mishkin Paul Haslinger
Eliza & The Delusionals,Just Exist,36,Just Exist Eliza & The Delusionals
The Beaches,Want What You Got,46,Want What You Got The Beaches
Dirty Pretty Things,Bang Bang You're Dead,41,Bang Bang You're Dead Dirty Pretty Things
Phoebe Bridgers,Kyoto,71,Kyoto Phoebe Bridgers
The Smashing Pumpkins,1979 - Remastered 2012,75,1979 - Remastered 2012 The Smashing Pumpkins
Adrian Younge,Forever More,36,Forever More Adrian Younge
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54,The Medicine Man [Feat. Old Crow Medicine Show] Keb' Mo'
Echo & the Bunnymen,The Killing Moon,61,The Killing Moon Echo & the Bunnymen
Jensen McRae,Immune,59,Immune Jensen McRae
Built To Spill,Life in Vain,37,Life in Vain Built To Spill
Two Feet,I Feel Like I'm Drowning,76,I Feel Like I'm Drowning Two Feet
Minutemen,Corona,54,Corona Minutemen
The Creation,Making Time,38,Making Time The Creation
Two Feet,Think I'm Crazy,56,Think I'm Crazy Two Feet
Tom Ashbrook,Klass,42,Klass Tom Ashbrook
Nothing But Thieves,Forever & Ever More,55,Forever & Ever More Nothing But Thieves
Everyone You Know,Just for the Times,53,Just for the Times Everyone You Know
Big Thief,Shark Smile - Edit,59,Shark Smile - Edit Big Thief
Japanese Breakfast,Be Sweet,64,Be Sweet Japanese Breakfast
Laurence Guy,Mutual Excitement is a Wonderful Thing,43,Mutual Excitement is a Wonderful Thing Laurence Guy
Taylor McCall,The Hounds,46,The Hounds Taylor McCall
The Cure,The Lovecats,60,The Lovecats The Cure
Jade Bird,Headstart,60,Headstart Jade Bird
Data,Rapture,27,Rapture Data
Joy Denalane,Be Here In The Morning,36,Be Here In The Morning Joy Denalane
Crystal Castles,Vanished,63,Vanished Crystal Castles
Plants and Animals,Le Queens,34,Le Queens Plants and Animals
The Walkmen,The Rat,57,The Rat The Walkmen
Amythyst Kiah,Black Myself,53,Black Myself Amythyst Kiah
Sebastian Plano,Soul I (Avow),47,Soul I (Avow) Sebastian Plano
XTC,Dear God - Remastered 2001,52,Dear God - Remastered 2001 XTC
Stand Atlantic,"deathwish (feat. nothing,nowhere.)",63,"deathwish (feat. nothing,nowhere.) Stand Atlantic"
Patti Smith,Because the Night,67,Because the Night Patti Smith
Tigercub,Stop Beating on My Heart (Like a Bass Drum),45,Stop Beating on My Heart (Like a Bass Drum) Tigercub
Parquet Courts,Berlin Got Blurry,46,Berlin Got Blurry Parquet Courts
Nick Mulvey,Third Way,44,Third Way Nick Mulvey
Jacob Banks,Parade,54,Parade Jacob Banks
Charlotte Day Wilson,If I Could,0,If I Could Charlotte Day Wilson
PRONOUN,I WANNA DIE BUT I CAN’T (CUZ I GOTTA KEEP LIVING),47,I WANNA DIE BUT I CAN’T (CUZ I GOTTA KEEP LIVING) PRONOUN
King Gizzard & The Lizard Wizard,Sense,46,Sense King Gizzard & The Lizard Wizard
Goldmund,Respite,42,Respite Goldmund
Malena Zavala,La Yarará - Single Version,33,La Yarará - Single Version Malena Zavala
Sharon Van Etten,Comeback Kid,51,Comeback Kid Sharon Van Etten
Press Club,Late Teens,27,Late Teens Press Club
Big Ups,Goes Black,31,Goes Black Big Ups
Illiterate Light,Freedom,40,Freedom Illiterate Light
Great Grandpa,Digger,34,Digger Great Grandpa
Smerz,Remember,43,Remember Smerz
Bob Dylan,Maggie's Farm,50,Maggie's Farm Bob Dylan
my bloody valentine,only shallow,59,only shallow my bloody valentine
renforshort,fall apart (with glaive),55,fall apart (with glaive) renforshort
Carlos Cipa,Surges (variation),47,Surges (variation) Carlos Cipa
Echo Collective,The Witching Hour,26,The Witching Hour Echo Collective
Dead Pony,"23, Never Me",43,"23, Never Me Dead Pony"
Charley Crockett,Midnight Run,49,Midnight Run Charley Crockett
The West Coast Pop Art Experimental Band,Shifting Sands,50,Shifting Sands The West Coast Pop Art Experimental Band
The Shaggs,Philosophy of the World,34,Philosophy of the World The Shaggs
The Undertones,Teenage Kicks,61,Teenage Kicks The Undertones
John Ozbay,A Paragon,42,A Paragon John Ozbay
Briston Maroney,It's Still Cool If You Don't,56,It's Still Cool If You Don't Briston Maroney
Creedence Clearwater Revival,Fortunate Son,82,Fortunate Son Creedence Clearwater Revival
Spank Rock,Bump - Switch Remix,16,Bump - Switch Remix Spank Rock
Saint Motel,It's All Happening,55,It's All Happening Saint Motel
Brittany Howard,Stay High,54,Stay High Brittany Howard
New Order,Blue Monday - 2016 Remaster,67,Blue Monday - 2016 Remaster New Order
Colter Wall,Cowpoke,62,Cowpoke Colter Wall
The Killers,Somebody Told Me,74,Somebody Told Me The Killers
Katastro,The Way I Feel,44,The Way I Feel Katastro
Cut Worms,Every Once In A While,43,Every Once In A While Cut Worms
Ron Gallo,Kill the Medicine Man,32,Kill the Medicine Man Ron Gallo
Thyla,Blue,23,Blue Thyla
Erland Cooper,Skreevar,30,Skreevar Erland Cooper
Masati,Intoxicated Truth,36,Intoxicated Truth Masati
Asylums,The Distance Between Left And Right,23,The Distance Between Left And Right Asylums
Sunflower Bean,Moment In The Sun,41,Moment In The Sun Sunflower Bean
Little Hurt,Messed Up,44,Messed Up Little Hurt
Ceramic Animal,Patiently 4 U,30,Patiently 4 U Ceramic Animal
Hot Chip,Ready For The Floor,60,Ready For The Floor Hot Chip
The Kount,Detour,26,Detour The Kount
Ailbhe Reddy,Time Difference,36,Time Difference Ailbhe Reddy
Ruby Waters,Difficult,42,Difficult Ruby Waters
James Chatburn,Why You Gotta Lie,32,Why You Gotta Lie James Chatburn
Arcade Fire,We Used to Wait,48,We Used to Wait Arcade Fire
Wipers,When It's Over,42,When It's Over Wipers
Marika Hackman,Realiti,32,Realiti Marika Hackman
The Presidents Of The United States Of America,Lump,68,Lump The Presidents Of The United States Of America
The Sounds,Painted By Numbers,47,Painted By Numbers The Sounds
Colony House,O YA,47,O YA Colony House
Arcade Fire,Ready to Start,58,Ready to Start Arcade Fire
Silver Apples,Oscillations,38,Oscillations Silver Apples
Clay and Friends,Bouge ton thang,42,Bouge ton thang Clay and Friends
The Surfaris,Wipe Out,45,Wipe Out The Surfaris
Skream,Chesters Groove,0,Chesters Groove Skream
Madi Diaz,"New Person, Old Place",51,"New Person, Old Place Madi Diaz"
Pixey,Free to Live in Colour,42,Free to Live in Colour Pixey
Gang Of Four,I Love a Man In a Uniform,25,I Love a Man In a Uniform Gang Of Four
Momma,Biohazard,40,Biohazard Momma
XTC,Generals And Majors - 2001 Remaster,46,Generals And Majors - 2001 Remaster XTC
Skegss,Save It For The Weekend,45,Save It For The Weekend Skegss
MOD SUN,Amnesia,58,Amnesia MOD SUN
Junia-T,4AM in Toronto (feat. Miloh Smith),36,4AM in Toronto (feat. Miloh Smith) Junia-T
Simple Minds,Theme For Great Cities,50,Theme For Great Cities Simple Minds
ARXX,Deep,33,Deep ARXX
Omri,come around,46,come around Omri
Placebo,Nancy Boy,53,Nancy Boy Placebo
Cody Jinks,Loud and Heavy (Unplugged),37,Loud and Heavy (Unplugged) Cody Jinks
Beck,Blue Moon,53,Blue Moon Beck
Maya De Vitry,When the Memories Come Around,14,When the Memories Come Around Maya De Vitry
Bananagun,Do Yeah,25,Do Yeah Bananagun
Kelly Lee Owens,Re-Wild (Breaka Remix),26,Re-Wild (Breaka Remix) Kelly Lee Owens
California Wives,Blood Red Youth,43,Blood Red Youth California Wives
Kaiser Chiefs,Everyday I Love You Less And Less,51,Everyday I Love You Less And Less Kaiser Chiefs
Middle Kids,Questions,37,Questions Middle Kids
Eels,Novocaine For The Soul,56,Novocaine For The Soul Eels
Fontaines D.C.,Boys In the Better Land,55,Boys In the Better Land Fontaines D.C.
Don Diablo,Kill Me Better (feat. Imanbek & Trevor Daniel) - Travis Barker Alt Version,49,Kill Me Better (feat. Imanbek & Trevor Daniel) - Travis Barker Alt Version Don Diablo
cleopatrick,hometown,63,hometown cleopatrick
Christian Löffler,Pastoral,55,Pastoral Christian Löffler
Jane's Addiction,Just Because,57,Just Because Jane's Addiction
France Gall,Laisse tomber les filles,39,Laisse tomber les filles France Gall
Cameo Blush,Lucky - Edit,39,Lucky - Edit Cameo Blush
Kid Cudi,Day 'N' Nite - Crookers Remix,0,Day 'N' Nite - Crookers Remix Kid Cudi
ENVYYOU,New Friends,46,New Friends ENVYYOU
Lightning Bug,The Right Thing Is Hard To Do,33,The Right Thing Is Hard To Do Lightning Bug
Jenny Lewis,Red Bull & Hennessy,44,Red Bull & Hennessy Jenny Lewis
Django Django,Default,54,Default Django Django
Arctic Monkeys,Do I Wanna Know?,85,Do I Wanna Know? Arctic Monkeys
Tamino,Cigar,53,Cigar Tamino
Joe Turner,Too Much,41,Too Much Joe Turner
Kings of Leon,Molly's Chambers,61,Molly's Chambers Kings of Leon
The Lemonheads,Mrs. Robinson - Remastered,63,Mrs. Robinson - Remastered The Lemonheads
BAILEN,I Was Wrong,37,I Was Wrong BAILEN
American Teeth,Fix You,41,Fix You American Teeth
The Rezillos,Top of the Pops,39,Top of the Pops The Rezillos
Lou Val,Eternal Sunshine,51,Eternal Sunshine Lou Val
Sturgill Simpson,I Don't Mind,62,I Don't Mind Sturgill Simpson
The Libertines,Time For Heroes,56,Time For Heroes The Libertines
Destroy Boys,Fences,55,Fences Destroy Boys
Softcult,Take It Off,47,Take It Off Softcult
Courtney Barnett,Avant Gardener,51,Avant Gardener Courtney Barnett
Nick Waterhouse,I Feel an Urge Coming On,34,I Feel an Urge Coming On Nick Waterhouse
Talking Heads,Psycho Killer - 2005 Remaster,73,Psycho Killer - 2005 Remaster Talking Heads
Liza Anne,Desire,26,Desire Liza Anne
Nicolas Duque,2You,43,2You Nicolas Duque
A Winged Victory for the Sullen,So That The City Can Begin To Exist,40,So That The City Can Begin To Exist A Winged Victory for the Sullen
Peter Gregson,Somnia,51,Somnia Peter Gregson
Arrested Youth,My Friends Are Robots,53,My Friends Are Robots Arrested Youth
The Beaches,Let's Go,49,Let's Go The Beaches
박혜진 Park Hye Jin,CLOUDS,51,CLOUDS 박혜진 Park Hye Jin
Eydís Evensen,Bylur,49,Bylur Eydís Evensen
Asquith,NFT - Bass Mix,19,NFT - Bass Mix Asquith
? & The Mysterians,96 Tears,44,96 Tears ? & The Mysterians
Jeremy J. Saks,The Theory of Sound,29,The Theory of Sound Jeremy J. Saks
illuminati hotties,I Wanna Keep Yr Dog,35,I Wanna Keep Yr Dog illuminati hotties
Siouxsie and the Banshees,The Passenger,60,The Passenger Siouxsie and the Banshees
Sasha,HNDI,27,HNDI Sasha
Jacques Greene,Promise,43,Promise Jacques Greene
Karen Nyame KG,Koko,38,Koko Karen Nyame KG
Jimmy Eat World,The Middle,79,The Middle Jimmy Eat World
The Lazy Eyes,Where's My Brain??? - Edit,33,Where's My Brain??? - Edit The Lazy Eyes
Arcade Fire,Rebellion (Lies),65,Rebellion (Lies) Arcade Fire
Michael Peter Olsen,Mayday,32,Mayday Michael Peter Olsen
Radiohead,Karma Police,75,Karma Police Radiohead
Altin Gün,Leyla,43,Leyla Altin Gün
Ashley Monroe,Til It Breaks,48,Til It Breaks Ashley Monroe
diveliner,basketball,41,basketball diveliner
U2,Vertigo,64,Vertigo U2
Alan Jackson,Write It In Red,48,Write It In Red Alan Jackson
The Tammys,Egyptian Shumba,34,Egyptian Shumba The Tammys
Hiatus Kaiyote,Get Sun (feat. Arthur Verocai) - Pocket Size Radio Edit,55,Get Sun (feat. Arthur Verocai) - Pocket Size Radio Edit Hiatus Kaiyote
Violent Femmes,Blister In The Sun,70,Blister In The Sun Violent Femmes
The Catheters,Nothing,38,Nothing The Catheters
Klaxons,Golden Skans,65,Golden Skans Klaxons
Falana,Joy,39,Joy Falana
Nadia Reid,Oh Canada,45,Oh Canada Nadia Reid
Friendship Commanders,Stonechild,24,Stonechild Friendship Commanders
Nada Surf,Popular,53,Popular Nada Surf
Harmony Byrne,Sweeter Than Sugar,25,Sweeter Than Sugar Harmony Byrne
Royal Blood,Boilermaker,66,Boilermaker Royal Blood
Ben Lukas Boysen,Love,47,Love Ben Lukas Boysen
The Only Ones,Another Girl Another Planet,51,Another Girl Another Planet The Only Ones
Kurt Vile,How Lucky,58,How Lucky Kurt Vile
Misha,2 Cool,37,2 Cool Misha
In Tua Nua,Seven Into The Sea,6,Seven Into The Sea In Tua Nua
David Shaw,Heavy Soul,47,Heavy Soul David Shaw
Pearl Jam,Alive,75,Alive Pearl Jam
Flasher,Punching Up,24,Punching Up Flasher
Switch,A Bit Patchy,41,A Bit Patchy Switch
The Horrors,Press Enter To Exit,49,Press Enter To Exit The Horrors
Annelie,October,48,October Annelie
Caspr,Coke Nose,0,Coke Nose Caspr
Kero Kero Bonito,21/04/20,48,21/04/20 Kero Kero Bonito
Fousheé,gold fronts (feat. Lil Wayne),60,gold fronts (feat. Lil Wayne) Fousheé
Os Mutantes,A Minha Menina,51,A Minha Menina Os Mutantes
Juan Wauters,Unity (with Cola Boyy),26,Unity (with Cola Boyy) Juan Wauters
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,67,Heads Will Roll - A-Trak Remix Yeah Yeah Yeahs
Witch Prophet,Shine,28,Shine Witch Prophet
Sun June,Bad girl,44,Bad girl Sun June
Durand Jones & The Indications,Witchoo,52,Witchoo Durand Jones & The Indications
Goat Girl,Bang,32,Bang Goat Girl
Annie Taylor,Telephone,31,Telephone Annie Taylor
Gorillaz,Stylo (feat. Mos Def and Bobby Womack),64,Stylo (feat. Mos Def and Bobby Womack) Gorillaz
Joy Division,Love Will Tear Us Apart - 2010 Remaster,60,Love Will Tear Us Apart - 2010 Remaster Joy Division
The Maine,Sticky,59,Sticky The Maine
Barry Can't Swim,Lone Raver,38,Lone Raver Barry Can't Swim
Tiny Little Houses,Car Crash,44,Car Crash Tiny Little Houses
alt-J,Breezeblocks,73,Breezeblocks alt-J
Liam Bailey,Paper Tiger,35,Paper Tiger Liam Bailey
Diskopunk,Fire,46,Fire Diskopunk
Bloc Party,Flux,54,Flux Bloc Party
KennyHoopla,estella//,68,estella// KennyHoopla
Allysha Joy,Light It Again - Radio Edit,36,Light It Again - Radio Edit Allysha Joy
Editors,An End Has A Start,54,An End Has A Start Editors
daysormay,The Trend,40,The Trend daysormay
Layto,Hate Me,0,Hate Me Layto
Deaf Wish,FFS,23,FFS Deaf Wish
Mary Bragg,Fool,17,Fool Mary Bragg
Blur,Song 2 - 2012 Remaster,76,Song 2 - 2012 Remaster Blur
Japandroids,Near To The Wild Heart Of Life,41,Near To The Wild Heart Of Life Japandroids
Metric,Help I'm Alive,60,Help I'm Alive Metric
Reginald Omas Mamode IV,400 Years,37,400 Years Reginald Omas Mamode IV
Maddie Jay,CR78,43,CR78 Maddie Jay
The (International) Noise Conspiracy,Smash It Up!,37,Smash It Up! The (International) Noise Conspiracy
The Tracks,Strange Moments,22,Strange Moments The Tracks
Interplanetary Criminal,Supreme Level,38,Supreme Level Interplanetary Criminal
Sarah Jarosz,Hometown,53,Hometown Sarah Jarosz
The Standells,Dirty Water,46,Dirty Water The Standells
minco eggersman,Abide,35,Abide minco eggersman
Pavement,Cut Your Hair,58,Cut Your Hair Pavement
The Primitives,Crash,51,Crash The Primitives
Qrion,Monolith,43,Monolith Qrion
The Jesus and Mary Chain,Just Like Honey,64,Just Like Honey The Jesus and Mary Chain
LOONY,royal flush,47,royal flush LOONY
Neil Cowley,Tramlines,46,Tramlines Neil Cowley
ELIO,When U Saw Love (ft. Babygirl),43,When U Saw Love (ft. Babygirl) ELIO
chemical club,Arm's Length,43,Arm's Length chemical club
Bully,Where to Start,44,Where to Start Bully
Cut Glass Kings,Shadow of Your Love,40,Shadow of Your Love Cut Glass Kings
Ohmme,3 2 4 3,31,3 2 4 3 Ohmme
Luke Smith,It's Time,37,It's Time Luke Smith
Mndsgn,Slowdance,37,Slowdance Mndsgn
The Fall,Totally Wired,45,Totally Wired The Fall
LCY,Shhh,37,Shhh LCY
Baltra,Baby,31,Baby Baltra
UPSAHL,People I Don't Like,72,People I Don't Like UPSAHL
The Smiths,How Soon Is Now? - 2008 Remaster,53,How Soon Is Now? - 2008 Remaster The Smiths
The Replacements,Androgynous,54,Androgynous The Replacements
Editors,Munich,62,Munich Editors
Bleachers,Stop Making This Hurt,54,Stop Making This Hurt Bleachers
R.E.M.,Radio Free Europe,42,Radio Free Europe R.E.M.
The White Stripes,The Hardest Button to Button,65,The Hardest Button to Button The White Stripes
L7,Pretend We're Dead,60,Pretend We're Dead L7
Sam Sparro,Happiness - The Magician Remix,31,Happiness - The Magician Remix Sam Sparro
Sharon Van Etten,Seventeen,63,Seventeen Sharon Van Etten
Helena Deland,Truth Nugget,42,Truth Nugget Helena Deland
Plague Vendor,New Comedown,38,New Comedown Plague Vendor
LOOK MUM NO COMPUTER,Waiting for the World to End,39,Waiting for the World to End LOOK MUM NO COMPUTER
Siriusmo,Nights Off,41,Nights Off Siriusmo
Weezer,I Need Some of That,57,I Need Some of That Weezer
Yeah Yeah Yeahs,Heads Will Roll,67,Heads Will Roll Yeah Yeah Yeahs
Porridge Radio,Good For You,44,Good For You Porridge Radio
NewDad,I Don't Recognise You,53,I Don't Recognise You NewDad
Chris Stapleton,You Should Probably Leave,76,You Should Probably Leave Chris Stapleton
Le Tigre,Deceptacon,74,Deceptacon Le Tigre
Sugar,If I Can't Change Your Mind,40,If I Can't Change Your Mind Sugar
USS (Ubiquitous Synergy Seeker),Feel Alive,42,Feel Alive USS (Ubiquitous Synergy Seeker)
The Sleepy Jackson,Good Dancers,44,Good Dancers The Sleepy Jackson
Pip Millett,Running (feat. Ghetts),54,Running (feat. Ghetts) Pip Millett
PUP,Rot,42,Rot PUP
beabadoobee,"Yoshimi, Forest, Magdalene",40,"Yoshimi, Forest, Magdalene beabadoobee"
Sports,The Look,46,The Look Sports
Khruangbin,Summer Madness,59,Summer Madness Khruangbin
The Hives,Main Offender,50,Main Offender The Hives
The Stranglers,Hanging Around - 1996 Remaster,46,Hanging Around - 1996 Remaster The Stranglers
MGMT,Electric Feel - Justice Remix,51,Electric Feel - Justice Remix MGMT
Franz Ferdinand,Do You Want To,62,Do You Want To Franz Ferdinand
White Denim,It Might Get Dark,40,It Might Get Dark White Denim
Pentangle,Light Flight,40,Light Flight Pentangle
Allison Russell,Nightflyer,55,Nightflyer Allison Russell
Noah Cunane,F*CK ABOUT IT,49,F*CK ABOUT IT Noah Cunane
Downtown Boys,A Wall,27,A Wall Downtown Boys
The Sunday Estate,Fight Me,36,Fight Me The Sunday Estate
Andrew Combs,Save Somebody Else,13,Save Somebody Else Andrew Combs
ONR,It Gets To A Point,45,It Gets To A Point ONR
Julien Baker,Faith Healer,57,Faith Healer Julien Baker
8485,southview,44,southview 8485
Broken Bells,The High Road,65,The High Road Broken Bells
Takénobu,Fight to Make It Up,40,Fight to Make It Up Takénobu
Nils Frahm,My Friend the Forest,51,My Friend the Forest Nils Frahm
Echo & the Bunnymen,The Cutter,51,The Cutter Echo & the Bunnymen
Nate Fredrick,Paducah,45,Paducah Nate Fredrick
Loretta Lynn,Still Woman Enough (feat. Reba McEntire & Carrie Underwood),40,Still Woman Enough (feat. Reba McEntire & Carrie Underwood) Loretta Lynn
Kan Sano,Think Twice,41,Think Twice Kan Sano
The Smashing Pumpkins,Today - Remastered,0,Today - Remastered The Smashing Pumpkins
Total Control,Flesh War,39,Flesh War Total Control
Frank Carter & The Rattlesnakes,Battlefield,38,Battlefield Frank Carter & The Rattlesnakes
FEVER 333,BITE BACK,50,BITE BACK FEVER 333
We Are Scientists,After Hours,46,After Hours We Are Scientists
Roxy Music,Virginia Plain,52,Virginia Plain Roxy Music
The Sanctuary,hold on,0,hold on The Sanctuary
Wolf Alice,The Last Man on Earth,60,The Last Man on Earth Wolf Alice
There,Swimming Backwards,27,Swimming Backwards There
Lauran Hibberd,Sweat Patch,32,Sweat Patch Lauran Hibberd
Manic Street Preachers,Motorcycle Emptiness,60,Motorcycle Emptiness Manic Street Preachers
Sizzy Rocket,That Bitch,47,That Bitch Sizzy Rocket
Cassandra Jenkins,Michelangelo,42,Michelangelo Cassandra Jenkins
Casper The Ghost,Know You Too Well,0,Know You Too Well Casper The Ghost
Maximo Park,Graffiti,41,Graffiti Maximo Park
Lou Phelps,Supersexe Freestyle,42,Supersexe Freestyle Lou Phelps
Death Cab for Cutie,I Will Possess Your Heart,56,I Will Possess Your Heart Death Cab for Cutie
Twenty One Pilots,Shy Away,83,Shy Away Twenty One Pilots
Tired Lion,With Or Without,36,With Or Without Tired Lion
Husky,SYWD,28,SYWD Husky
Built To Spill,Mountain Top,29,Mountain Top Built To Spill
Feist,My Moon My Man - Boys Noize Classic Mix,34,My Moon My Man - Boys Noize Classic Mix Feist
Fred again..,Marea (We’ve Lost Dancing),76,Marea (We’ve Lost Dancing) Fred again..
The Wild Reeds,Lose My Mind,47,Lose My Mind The Wild Reeds
